input,value,source,retrieved
US implied equity risk premium,0.0445,"Damodaran, Equity Risk Premiums: Determinants, Estimates and Implications, 2026 edition (implied ERP, July 2026 update)",2026-08-06
"Default spread, B3/B- synthetic rating",0.055,"Damodaran, Ratings, Interest Coverage Ratios and Default Spreads (smaller-firm table)",2026-08-06
