,value
ogn_price_16jan,8.760000228881836
ogn_price_9apr,6.909999847412109
ogn_price_current,13.569999694824219
ogn_net_debt_fy2025_usd,8070000000.0
ogn_shares_outstanding,262609433.0
offer_price,14.0
implied_equity_value_usd,3676532062.0
implied_ev_usd,11746532062.0
